CentreName,AcademicYear,LearnerCode,BookingId,BookingType,LeadSource,DiscountType,DateofBirth,Gender,Nationality,HomeCountry,HomeState,HomeCity,CourseLevel,CourseName,CourseFirstIntakeDate,IsFirstIntake,CourseStartDate,CourseEndDate,CompletedCourse,NonCompletionReason,ArrivedDate,TerminationDate,AssessedModules,PassedModules,FailedModules,CreditWeightedAverage,ProgressionDegree,ProgressionUniversity,EligibleToProgress,PresentCount,LateCount,AuthorisedAbsenceCount,UnauthorisedAbsenceCount,ContactHours,AttendancePercentage
ISC_Aberdeen,2019/20,2284932,31261386,Agent,Standard Agent Booking,,13/01/1998,Male,Chinese,China PRC,Jianye District; Jiangsu Province,Nanjing,Pre-Masters,Business and Law Pre-Masters,26/05/2020,True,26/05/2020,28/08/2020,Yes,,26/05/2020,,4.0,4.0,0.0,75.0,Msc Econ Accounting and Investment Management,University of Aberdeen,Yes,,,,,,
ISC_Aberdeen,2019/20,2399500,31979379,Agent,Standard Agent Booking,,12/02/1998,Male,Chinese,China PRC,,Xi'an,Foundation,Life Sciences Undergraduate Foundation Programme,02/09/2019,False,06/01/2020,28/08/2020,Yes,,13/01/2020,,7.0,7.0,0.0,73.0,BSc Biological Sciences,University of Aberdeen,Yes,80.0,0.0,93.0,5.0,215.0,97.0
ISC_Aberdeen,2019/20,2424946,27491184,Agent,Standard Agent Booking,,07/04/2000,Male,Chinese,China PRC,,Chengdu,International Year Two,Business Management and Finance International Year Two,02/09/2019,False,06/01/2020,28/08/2020,Yes,,09/01/2020,,8.0,8.0,0.0,66.0,MA Finance,University of Aberdeen,Yes,88.0,0.0,92.0,6.0,226.0,97.0
ISC_Aberdeen,2019/20,2426583,28689190,Agent,Standard Agent Booking,,18/05/1999,Male,Chinese,China PRC,,LIUYANG CITY ;CHANGSHA,International Year Two,Business Management and Finance International Year Two,02/09/2019,True,02/09/2019,26/06/2020,Yes,,16/09/2019,,8.0,8.0,0.0,71.0,MA Business Management,University of Aberdeen,Yes,164.0,12.0,67.0,15.0,399.0,94.0
ISC_Aberdeen,2019/20,2434674,35141670,Agent,Standard Agent Booking,,19/04/1996,Male,Chinese,Croatia,,Xiamen,Pre-Masters,Business and Law Pre-Masters,26/05/2020,True,26/05/2020,28/08/2020,Yes,,29/05/2020,,4.0,4.0,0.0,60.0,MSc International Business Management,University of Aberdeen,Yes,,,,,,
ISC_Aberdeen,2019/20,2469830,28291946,Agent,Standard Agent Booking,,24/07/2000,Male,Chinese,China PRC,Hunan,Yuhua District;Changsha,International Year Two,Business Management and Finance International Year Two,02/09/2019,True,02/09/2019,26/06/2020,Yes,,19/09/2019,,8.0,8.0,0.0,78.0,MA Finance,University of Aberdeen,Yes,166.0,2.0,67.0,3.0,371.0,99.0
ISC_Aberdeen,2019/20,2480390,33465008,Agent,Standard Agent Booking,,15/08/2002,Male,Chinese,China PRC,,,Foundation,Business; Economics; Accounting and Real Estate Undergraduate Foundation Programme,02/09/2019,False,06/01/2020,28/08/2020,No,Withdrawn (Personal),21/01/2020,29/04/2020,,,,,MA International Business,University of Aberdeen,No,61.0,0.0,29.0,18.0,179.0,83.0
ISC_Aberdeen,2019/20,2489112,34481246,Agent,Standard Agent Booking,,28/11/2001,Male,Chinese,China PRC,Tianhe District,Guangzhou,Foundation,Business; Economics; Accounting and Real Estate Undergraduate Foundation Programme,02/09/2019,False,06/01/2020,28/08/2020,Yes,,20/01/2020,,7.0,7.0,0.0,68.0,MA International Business,University of Aberdeen,Yes,68.0,0.0,86.0,25.0,214.0,86.0
ISC_Aberdeen,2019/20,2512121,21063008,Direct,Sponsor,,27/08/1999,Female,Iraqi,Iraq,,,Foundation,Physical Sciences and Engineering Undergraduate Foundation Programme,02/09/2019,True,02/09/2019,26/06/2020,Yes,,02/09/2019,,7.0,7.0,0.0,81.0,BEng Petroleum Engineering,University of Aberdeen,Yes,161.0,6.0,59.0,9.0,386.0,96.0
ISC_Aberdeen,2019/20,2513496,21434263,Agent,Standard Agent Booking,,25/07/2000,Female,Kenyan,Kenya,,Eldoret,Foundation,Life Sciences - pathway to Medicine Undergraduate Foundation Programme,02/09/2019,True,02/09/2019,26/06/2020,Yes,,02/09/2019,,7.0,7.0,0.0,83.0,MBChB Medicine,University of Aberdeen,Yes,174.0,2.0,57.0,6.0,380.0,97.0
